date,o,h,l,c,symbol,tRange,ema50,ema25,ema9,ema4,min6,e50streak_under,e50streak_over,decision_number,type1
2019-05-06,248.075,249.675,244.925,247.025,FC,4.75,258.0388,256.4241,252.3873,249.3987,247.025,8,0,,
2019-05-07,247.675,249.125,246.875,248.275,FC,2.25,257.6559,255.7973,251.5648,248.9492,247.025,9,0,,
2019-05-08,248.175,249.025,246.0,246.55,FC,3.025,257.2204,255.0859,250.5619,247.9895,246.55,10,0,,
2019-05-09,246.075,247.525,245.325,247.15,FC,2.2,256.8255,254.4755,249.8795,247.6537,246.55,11,0,,
2019-05-10,247.225,250.775,246.05,249.5,FC,4.725,256.5382,254.0927,249.8036,248.3922,246.55,12,0,,
2019-05-13,248.775,248.8,245.4,245.775,FC,3.4,256.1161,253.4529,248.9979,247.3453,245.775,13,0,,
2019-05-14,246.275,247.75,244.6,245.175,FC,3.15,255.687,252.8162,248.2333,246.4772,245.175,14,0,,
2019-05-15,245.375,245.85,243.85,244.95,FC,2.0,255.266,252.2111,247.5766,245.8663,244.95,15,0,,
2019-05-16,244.55,246.95,243.175,246.0,FC,3.775,254.9026,251.7333,247.2613,245.9198,244.95,16,0,,
2019-05-17,246.375,248.725,246.1,248.175,FC,2.625,254.6388,251.4596,247.4441,246.8219,244.95,17,0,,enterL3
2019-05-20,248.55,248.55,246.4,247.45,FC,2.15,254.3569,251.1511,247.4452,247.0731,244.95,18,0,,
2019-05-21,247.675,247.8,244.725,245.675,FC,3.075,254.0164,250.7299,247.0912,246.5139,244.95,19,0,,
2019-05-22,245.45,246.025,244.575,245.275,FC,1.45,253.6736,250.3103,246.728,246.0183,244.95,20,0,,
2019-05-23,245.375,246.225,244.275,245.7,FC,1.95,253.3609,249.9557,246.5224,245.891,245.275,21,0,,
2019-05-24,245.7,246.975,245.25,245.9,FC,1.725,253.0683,249.6437,246.3979,245.8946,245.275,22,0,,
2019-05-28,246.825,246.875,244.2,244.9,FC,2.675,252.748,249.2788,246.0983,245.4968,244.9,23,0,,
2019-05-29,243.775,245.7,242.8,245.4,FC,2.9,252.4598,248.9804,245.9587,245.4581,244.9,24,0,,
2019-05-30,245.425,246.125,240.9,240.9,FC,5.225,252.0065,248.3588,244.9469,243.6348,240.9,25,0,,
2019-05-31,240.7,241.65,234.825,235.8,FC,6.825,251.371,247.3928,243.1175,240.5009,235.8,26,0,,
2019-06-03,237.175,238.625,235.125,236.175,FC,3.5,250.7751,246.5299,241.729,238.7705,235.8,27,0,,
2019-06-04,236.675,240.55,236.325,240.125,FC,4.225,250.3574,246.0372,241.4082,239.3123,235.8,28,0,,
2019-06-05,240.7,242.325,239.775,242.125,FC,2.55,250.0346,245.7363,241.5516,240.4374,235.8,29,0,,enterL3
2019-06-06,242.65,242.95,239.25,241.95,FC,3.7,249.7175,245.445,241.6313,241.0424,235.8,30,0,,
2019-06-07,241.85,242.85,238.6,239.925,FC,4.25,249.3335,245.0204,241.29,240.5955,235.8,31,0,,
2019-06-10,240.225,243.75,239.85,242.5,FC,3.9,249.0655,244.8265,241.532,241.3573,236.175,32,0,,
2019-06-11,242.5,243.575,240.35,240.8,FC,3.225,248.7414,244.5168,241.3856,241.1344,239.925,33,0,,
2019-06-12,241.025,241.45,237.2,240.475,FC,4.25,248.4172,244.2059,241.2035,240.8706,239.925,34,0,,
2019-06-13,239.725,240.075,237.35,238.9,FC,2.725,248.044,243.7977,240.7428,240.0824,238.9,35,0,,
2019-06-14,238.45,239.3,237.325,238.2,FC,1.975,247.6579,243.3671,240.2342,239.3294,238.2,36,0,,
2019-06-17,237.125,239.9,236.8,239.6,FC,3.1,247.3419,243.0774,240.1074,239.4377,238.2,37,0,,
2019-06-18,240.3,241.175,239.325,239.925,FC,1.85,247.0511,242.8349,240.0709,239.6326,238.2,38,0,,
2019-06-19,240.075,240.55,238.4,239.2,FC,2.15,246.7432,242.5553,239.8967,239.4596,238.2,39,0,,
2019-06-20,239.45,239.825,237.25,237.375,FC,2.575,246.3758,242.1568,239.3924,238.6257,237.375,40,0,,
2019-06-21,237.375,237.85,235.1,236.35,FC,2.75,245.9827,241.7101,238.7839,237.7154,236.35,41,0,,
2019-06-24,236.05,236.35,233.625,234.45,FC,2.725,245.5304,241.1516,237.9171,236.4093,234.45,42,0,,
2019-06-25,234.875,234.975,233.775,234.0,FC,1.2,245.0782,240.6015,237.1337,235.4456,234.0,43,0,,
2019-06-26,234.875,238.5,234.725,238.5,FC,3.775,244.8203,240.4399,237.407,236.6673,234.0,44,0,,enterL3
2019-06-27,239.25,239.925,238.275,238.475,FC,1.65,244.5714,240.2887,237.6206,237.3904,234.0,45,0,,
2019-06-28,238.775,242.575,237.075,239.525,FC,5.5,244.3735,240.23,238.0015,238.2442,234.0,46,0,,
2019-07-01,240.175,242.025,238.725,239.7,FC,3.3,244.1902,240.1892,238.3412,238.8265,234.0,47,0,,
2019-07-02,239.6,241.425,239.2,241.05,FC,2.225,244.0671,240.2554,238.8829,239.7159,234.0,48,0,,
2019-07-03,241.1,241.275,238.7,239.25,FC,2.575,243.8782,240.1781,238.9563,239.5296,238.475,49,0,,
2019-07-05,240.025,241.875,240.0,241.5,FC,1.875,243.7849,240.2798,239.4651,240.3177,238.475,50,0,,
2019-07-08,241.175,242.325,240.55,241.575,FC,1.775,243.6983,240.3794,239.8871,240.8206,239.25,51,0,,
2019-07-09,242.075,245.975,241.9,245.55,FC,4.075,243.7709,240.7771,241.0196,242.7124,239.25,52,0,,enterL1
2019-07-10,245.525,245.8,244.6,245.025,FC,1.2,243.8201,241.1039,241.8207,243.6374,239.25,0,1,,
2019-07-11,245.775,246.425,244.725,245.3,FC,1.7,243.8781,241.4267,242.5166,244.3025,239.25,0,2,,
2019-07-12,245.4,245.475,243.125,244.275,FC,2.35,243.8937,241.6458,242.8683,244.2915,241.5,0,3,,
2019-07-15,244.175,244.9,243.025,244.325,FC,1.875,243.9106,241.8519,243.1596,244.3049,241.575,0,4,,
