symbol,date,close,entryprice,type,eo,state,decision_number
BR5,2019-12-09,0.23321,,exitStopS2,exitS2,,1.9
BR5,2020-01-14,0.23271,,Short2,enterS2,Short2,1.5
BR5,2020-03-05,0.20701,,exitS2,exitS2,,1.8
BR5,2020-03-10,0.20536,,Short2,enterS2,Short2,1.5
BR5,2020-03-31,0.18422,,Long3,enterL3,Long3,2.2
BR5,2020-04-01,0.18172,,exitS2,exitS2,,1.8
BR5,2020-04-06,0.18047,,Short2,enterS2,Short2,1.5
BR5,2020-04-06,0.18047,,exitL3,exitL3,,2.1
BR5,2020-04-07,0.18327,,exitStopS2,exitS2,,1.9
BR5,2020-04-28,0.17327,,Short2,enterS2,Short2,1.5
BR5,2020-04-29,0.17822,,exitStopS2,exitS2,,1.9
BR5,2020-05-08,0.16607,,Short2,enterS2,Short2,1.5
BR5,2020-05-18,0.16687,,exitStopS2,exitS2,,1.9
BR5,2020-06-11,0.18406,,Short3,enterS3,Short3,2.3
BR5,2020-06-12,0.18681,,exitStopS3,exitS3,,2.7
BR5,2020-06-19,0.17866,,Short2,enterS2,Short2,1.5
BR5,2020-06-22,0.17991,,exitStopS2,exitS2,,1.9
BR5,2020-06-29,0.17386,,Short2,enterS2,Short2,1.5
BR5,2020-07-01,0.17653,,exitStopS2,exitS2,,1.9
BR5,2020-07-01,0.17653,,Long3,enterL3,Long3,2.2
BR5,2020-07-02,0.17673,,Short2,enterS2,Short2,1.5
BR5,2020-07-02,0.17673,,exitL3,exitL3,,2.1
BR5,2020-07-21,0.18223,,exitStopS2,exitS2,,1.9
BR5,2020-08-04,0.17743,,Short2,enterS2,Short2,1.5
