2018-10-31, symbol: futures_FC_B, Trigger: enterL2, close: 264.075
2018-11-13, symbol: futures_FC_B, Trigger: enterL3, close: 260.925
2018-11-28, symbol: futures_FC_B, Trigger: enterS2, close: 261.65
2018-12-11, symbol: futures_FC_B, Trigger: enterL3, close: 261.25
2018-12-17, symbol: futures_FC_B, Trigger: enterS2, close: 259.325
2019-01-03, symbol: futures_FC_B, Trigger: enterS3, close: 260.3
2019-01-08, symbol: futures_FC_B, Trigger: enterL2, close: 261.3
2019-01-23, symbol: futures_FC_B, Trigger: enterL3, close: 259.5
2019-02-13, symbol: futures_FC_B, Trigger: enterS2, close: 259.375
2019-03-25, symbol: futures_FC_B, Trigger: enterS3, close: 261.175
2019-04-04, symbol: futures_FC_B, Trigger: enterL2, close: 260.55
2019-04-10, symbol: futures_FC_B, Trigger: enterS2, close: 259.7
2019-04-24, symbol: futures_FC_B, Trigger: enterS3, close: 259.4
2019-05-17, symbol: futures_FC_B, Trigger: enterL3, close: 248.175
2019-06-05, symbol: futures_FC_B, Trigger: enterL3, close: 242.125
2019-06-26, symbol: futures_FC_B, Trigger: enterL3, close: 238.5
2019-07-09, symbol: futures_FC_B, Trigger: enterL1, close: 245.55
2019-07-17, symbol: futures_FC_B, Trigger: enterS2, close: 243.25
2019-07-31, symbol: futures_FC_B, Trigger: enterS3, close: 244.6
2019-08-21, symbol: futures_FC_B, Trigger: enterL3, close: 236.35
2019-09-17, symbol: futures_FC_B, Trigger: enterL1, close: 239.1
2019-10-18, symbol: futures_FC_B, Trigger: enterS3, close: 246.625
2019-11-13, symbol: futures_FC_B, Trigger: enterS3, close: 250.0
2019-11-22, symbol: futures_FC_B, Trigger: enterS1, close: 246.45
2019-11-27, symbol: futures_FC_B, Trigger: enterL2, close: 250.5
2019-12-11, symbol: futures_FC_B, Trigger: enterL3, close: 249.95
2019-12-23, symbol: futures_FC_B, Trigger: enterS3, close: 250.55
2020-01-14, symbol: futures_FC_B, Trigger: enterS3, close: 252.55
2020-02-13, symbol: futures_FC_B, Trigger: enterL3, close: 243.15
2020-02-24, symbol: futures_FC_B, Trigger: enterS2, close: 242.85
2020-03-04, symbol: futures_FC_B, Trigger: enterL3, close: 241.225
2020-03-20, symbol: futures_FC_B, Trigger: enterL3, close: 222.2
2020-03-27, symbol: futures_FC_B, Trigger: enterS2, close: 224.875
2020-04-21, symbol: futures_FC_B, Trigger: enterS2, close: 220.7
2020-04-30, symbol: futures_FC_B, Trigger: enterS2, close: 220.3
2020-05-06, symbol: futures_FC_B, Trigger: enterL1, close: 226.55
2020-05-14, symbol: futures_FC_B, Trigger: enterS2, close: 224.85
2020-05-26, symbol: futures_FC_B, Trigger: enterL2, close: 227.1
2020-06-16, symbol: futures_FC_B, Trigger: enterL2, close: 226.675
2020-06-23, symbol: futures_FC_B, Trigger: enterL2, close: 227.0
